category_name, subcategory_name, product_name, sku    , type   , price, sale_price, stock, short_description      , long_description                        , feature_img, variant_sku      , variant_price, variant_sale_price, variant_stock, variant_attributes, variant_attribute_values, variant_gallery
Electronics  , Smartphones     , iPhone 14   , IPH14  , simple , 999  , 899       , 50   , Latest Apple iPhone    , The iPhone 14 features A15 Bionic chip. , img1.jpg   ,                  ,              ,                   , 
Electronics  , Smartphones     , Galaxy S24  , GS24   , variant, 899  , 799       , 30   , Latest Samsung Flagship, The Galaxy S24 features AI capabilities., img7.jpg   , GS24-BLK-128     , 899          , 799               , 15           , Color|Storage     , Black|128GB             , img7.jpg|img8.jpg
Electronics  , Smartphones     , Galaxy S24  , GS24   , variant, 899  , 799       , 30   , Latest Samsung Flagship, The Galaxy S24 features AI capabilities., img7.jpg   , GS24-CRM-256     , 999          , 899               , 10           , Color|Storage     , Cream|256GB             , img9.jpg|img10.jpg
Electronics  , Smartphones     , iPhone 14   , IPH14  , simple , 999  , 899       , 50   , Latest Apple iPhone    , The iPhone 14 features A15 Bionic chip. , img1.jpg   ,                  ,              ,                   ,              ,                   ,                         , 
Electronics  , Smartphones     , Galaxy S24  , GS24   , variant, 899  , 799       , 30   , Latest Samsung Flagship, The Galaxy S24 features AI capabilities., img7.jpg   , GS24-BLACK-128   , 899          , 799               , 15           , Color|Storage     , Black|128GB             , img7.jpg|img8.jpg
Electronics  , Smartphones     , Galaxy S24  , GS24   , variant, 899  , 799       , 30   , Latest Samsung Flagship, The Galaxy S24 features AI capabilities., img7.jpg   , GS24-CREAM-256   , 999          , 899               , 10           , Color|Storage     , Cream|256GB             , img9.jpg|img10.jpg
Electronics  , Laptops         , MacBook Air , MBA13  , simple , 1299 , 1199      , 20   , Lightest MacBook       , The MacBook Air features M15 chip.      , img2.jpg   ,                  ,              ,                   ,              ,                   ,                         , 
Electronics  , Laptops         , Dell XPS    , DXPS13 , variant, 999  , 899       , 15   , Powerful Dell Laptop   , The Dell XPS features Intel Core i7.    , img3.jpg   , DXPS13-SILVER-256, 999          , 899               , 10           , Color|Storage     , Silver|256GB            , img3.jpg|img4.jpg
Electronics  , Laptops         , Dell XPS    , DXPS13 , variant, 999  , 899       , 15   , Powerful Dell Laptop   , The Dell XPS features Intel Core i7.    , img3.jpg   , DXPS13-BLACK-512 , 1299         , 1199              , 5            , Color|Storage     , Black|512GB             , img5.jpg|img6.jpg
Electronics  , Tablets         , iPad Pro    , IPADPRO, simple , 799  , 699       , 25   , Latest Apple iPad      , The iPad Pro features A12X chip.        , img11.jpg  ,                  ,              ,                   ,              ,                   ,                         , 
Electronics  , Tablets         , Samsung Tab , STAB7  , variant, 499  , 399       , 30   , Powerful Samsung Tablet, The Samsung Tab features Android 11.    , img12.jpg  , STAB7-BLACK-64   , 499          , 399               , 20           , Color|Storage     , Black|64GB              , img12.jpg|img13.jpg
Electronics  , Tablets         , Samsung Tab , STAB7  , variant, 499  , 399       , 30   , Powerful Samsung Tablet, The Samsung Tab features Android 11.    , img12.jpg  , STAB7-SILVER-128 , 599          , 499               , 10           , Color|Storage     , Silver|128GB            , img14.jpg|img15.jpg